objectid,filename,youtubeid,title,description,subject,interes,tipo_patrimonio,subgrupo_patrimonial,latitude,longitude,date_legal,date,acto_administrativo,creator,rights,source,identifier,type,format,folder_name
IM6,IM6_capilla_virgen.jpg,,Capilla de la Virgen de Torcoroma,En una capilla de estilo colonial que fue construida para albergar la imagen aprecida de la virgen de Torcoroma.,Religión; Virgen de Torcoroma,Departamental,Arquitectura Religiosa,Inmueble,8.233.643,-73.352.856,2003,1749,Decreto 2861 de 26 de noviembre de 1984 (lista representativa actual. Jul 23) - Decreto 1144 de 2003,,,,,,image/jpeg,IM6_Capilla_Virgen_Torcoroma
IM7,IM7_parroquia_san_angustin.JPG,,Parroquia de San Agustín,"Fue una de las primeras construcicones de la ciudad, llamada como Ermita de San Sebastian. Se encuentra la imagen de la virgen del Pepetuo Socorro una talla en madera que viene desde Barcelona",Religión,Departamental,Arquitectura Religiosa,Inmueble,8.238.878,-73.353.154,2003,1596,Decreto 1144 de 2003,,,https://www.ocanaturistica.com/ocana/atractivos-turisticos/iglesias-templos/,,,image/jpeg,IM_7_Parroquia_San_Agustin
IM8,IM8_molino.JPG,,Molino,"Se contruyó en la época colonial, hoy prácticamente en ruinas. Era un molino de trigo ubicado al margen izquierdo del río tejo. Posteriormente se convirtió en balneario público.",Industria y comercio,Municipal,Arquitectura para la industria,Inmueble,8.231.234,-73.357.789,1993,1700,Inmuebles localizados en áreas consolidadas (Decreto 204),,,https://academiaocana.blogspot.com/search?q=molino,,,image/jpeg,IM_8_Molino
IM9,IM9_plazuela_san_agustin.JPG,,Plazuela de San Agustín,"El barrio donde se encuentra la plazuela surge en torno a la ermita de San Sebastian (hoy iglesia de San Agustín). Se supone que la plazuela se formó al tiempo que se construia la ermita. Recibió el nombre de parque de La Pola y luego parque infantil Marco Fidel Suárez, luego Parque del Fundador.",Religión,Departamental,Patrimonio Urbano,Inmueble,8.238.705,-73.353.160,2003,1917,Decreto 1144 de 2003,,,https://academiaocana.blogspot.com/2014/07/v-behaviorurldefaultvmlo.html,,,image/jpeg,IM9_Plazuela_San_Agustin
IM10,IM10_templo_santa_rita.JPG,,Templo de Santa Rita,Es una iglesia de arqutectura colonial que la tradición oral relaciona con la leyenda de don Antón García de Bonilla. Según la tradición sirvió como sede a funcionarios de la Santa Inquisición.,Religión; Antón García de Bonilla,Departamental,Arquitectura Religiosa,Inmueble,8.232.779,-73.355.845,2003,1700,Decreto 1144 de 2003,,,https://academiaocana.blogspot.com/search?q=iglesia+de+santa+rita,,,image/jpeg,IM10_Templo_Santa_Rita
IM11,IM11_palacio_municipal.JPG,,Palacio Municipal,"Es una construcción de la época republicana. Se encuentra dentro de las primeras construcciones, perteneciente a la familia Quintero",Institución;Política,Departamental,Arquitectura Institucional,Inmueble,8.234.855,-73.354.205,2003,1800,Decreto 1144 de 2003,,,,,,image/jpeg,IM_11_Palacio_Municipal
IM12,IM12_club_ocana.jpg,,Club Ocaña (Casa donde se Hospedó Simón Bolívar),En este inmueble se alojó Simón Bolívar en la primera visita a la ciudad en 1813.,Política,Departamental,Arquitectura Habitacional,Inmueble,8.235.566,-73.354.611,2003,1800,Decreto 1144 de 2003,,,http://academiaocana.blogspot.com/2014/11/club-ocana-120-anos-de-su-fundacion.html,,,image/jpeg,IM12_Club_Ocana
IM13,IM13_san_antonio.JPG,,Templo de San Antonio de Padua,El presbítero Guillermo Fajardo bendice la primera piedra del templo,Religión,Departamental,Arquitectura Religiosa,Inmueble,8.231.219,-73.345.825,2003,1904,Decreto 1144 de 2003,,,,,,image/jpeg,IM13_San_Antonio
IM15,IM15_colegio_caro.JPG,,Colegio Nacional José Eusebio Caro,"El colegio de José Eusebio Caro, se encuentra en el lugar donde naciera el mismo José Eusebio. El colegio fue creado en 1911 y la construcción actual se comenzó en 1916 tras la compra del terreno",Institución;Educación;José Eusebio Caro,Municipal,Arquitectura Institucional,Inmueble,8.232.927,-73.354.556,,1916,Inmuebles localizados en áreas consolidadas,Dr. Josué Merlano,,https://www.calameo.com/read/00073140052b2782b78e0,,,image/jpeg,IM15_Colegio_Caro
IM17,IM17_monasterio.jpg,,Monasterio de Monjas Dominicas,"En el lugar funcionó el tribunal de la santa inquisición. El monasterio fue inaugurado el 8 de diciembre de 1977. En los terrenos bajos se descubrieron una especie de calabozos donde habían restos humanos y grelletes cuando se estaba construyendo el monasterio, el lugar fue cerrado y no se sabe nada.",Religión;Antón García de Bonilla,Municipal,Arquitectura Religiosa,Inmueble,8.232.422,-73.355.478,,1600,Inmuebles localizados en áreas consolidadas,,,,,,image/jpeg,IM17_Monasterio_Monjas_Dominicas
